f2h_entity_id,f2hname,f2h_price,f2h_weight
1301,Pink Perch / Kilimeen / Sankara Meen / Thread Finned Bream (Medium),298.0000,0.5000
1302,Pink Perch / Kilimeen / Sankara Meen / Thread Finned Bream (Medium) - Whole,298.0000,0.5000
1303,Pink Perch / Kilimeen / Sankara Meen / Thread Finned Bream (Medium) - Whole Cleaned,429.1200,0.5000
1307,Silver Pomfret / Avoli (Large) - Steaks 250g Pack,699.5000,1.0000
1311,Finletted Mackerel / Kanni Ayala (Medium / Large),258.0000,0.5000
1312,Finletted Mackerel / Kanni Ayala - Whole,258.0000,0.5000
1313,Finletted Mackerel / Kanni Ayala - Whole Cleaned,358.6200,0.5000
1322,Big Eye Snapper,238.0000,0.5000
1324,Big Eye Snapper - Whole Cleaned (With Skin),330.8200,0.5000
1331,Shark (Super Tasty),498.0000,0.5000
1333,Shark (Super Tasty) - Curry Cut,781.8600,0.5000
1334,Indian Salmon / Vazhmeen / Raavas / Gurjali (Large),898.0000,0.5000
1335,Indian Salmon / Vazhmeen / Raavas / Gurjali (Large) - Whole,898.0000,1.3000
1336,Indian Salmon / Vazhmeen / Raavas / Gurjali (Large) - Whole Cleaned,1185.3600,2.0000
1337,Indian Salmon / Vazhmeen / Raavas / Gurjali (Large) - Steaks,1436.8000,0.5000
1338,Indian Salmon / Vazhmeen / Raavas / Gurjali (Large) - Curry Cut (May include head pieces),1284.1400,0.5000
1339,Premium Chicken - Skinless Biryani Cut 70gm+/piece,239.0000,0.5000
1340,Premium Chicken - Biryani Cut,239.0000,1.1000
1341,Barracuda / Cheelavu (Extra Small),258.0000,0.5000
1342,Barracuda / Cheelavu (Extra Small) - Whole,258.0000,0.5000
1343,Barracuda / Cheelavu (Extra Small) - Whole Cleaned,356.0400,0.5000
1348,Premium Fresh Chicken - Mince / Kheema,419.0000,0.5000
1353,"Clam Meat / Kakka (Large, uncleaned)",438.0000,0.5000
1356,Premium Chicken Thigh / Whole Leg,338.0000,0.5000
1357,Premium Chicken - Thighs (5 to 6 pieces per kg),338.0000,0.5000
1369,Premium Chicken Winglets,279.0000,0.5000
1370,Premium Chicken Winglets - Whole,279.0000,0.5000
1371,Premium Boneless Chicken Cubes ,398.0000,0.5000
1372,Premium - Boneless Chicken Cubes (Each piece is around 35g),398.0000,0.5000
1387,Rohu - Bengali Cut (May include head piece),275.9000,0.5000
1388,Catla - Bengali Cut (May include head piece),298.9800,0.5000
1389,Fresh Indian Baasa / Pangasius - Bengali Cut (May include head piece),215.6000,0.5000
1447,Premium Chicken Liver,149.0000,0.5000
1448,Premium Chicken - Liver Cut Pieces,149.0000,0.5000
1463,Premium Goat Liver,438.0000,0.5000
1464,Premium Goat Liver - Cut Pieces,438.0000,0.5000
1465,Leather Jacket - Curry Cut,423.1600,0.5000
1487,Grey Mullet / Thirutha (Small),298.0000,0.5000
1488,Grey Mullet / Thirutha (Small) - Whole,298.0000,0.5000
1489,Grey Mullet / Thirutha (Small) - Curry Cut (May include head pieces),423.1600,0.5000
1490,Grey Mullet / Thirutha (Small) - Whole Cleaned,411.2400,0.5000
1500,Indian Mackerel / Ayala / Bangda / Aiyla (Large),238.0000,0.5000
1501,Indian Mackerel / Ayala / Bangda (Large) - Whole,238.0000,0.5000
1502,Indian Mackerel / Ayala / Bangda (Large) - Whole Cleaned (includes head pieces),366.5200,0.5000
1514,Hilsa / Ilish ,658.0000,0.4000
1515,Hilsa / Ilish (300g to 450g) - Whole (Not Cleaned),658.0000,0.5000
1516,"Hilsa / Ilish (300g to 450g) - Bengali Round Cut (Only scale, gills removed. Includes head and tail, tasty oils/eggs)",789.6000,0.3000
1518,Hilsa / Ilish / Palla /Palva / Pulasa / Polasa,898.0000,0.5000
1519,Hilsa / Ilish /Palla /Palva / Pulasa / Polasa - Whole,898.0000,0.6000
1520,"Hilsa / Ilish /Palla / Palva / Pulasa / Polasa - Bengali Round Cut (Only scale, gills removed. Includes head and tail, tasty oils/eggs)",1077.6000,0.5000
1530,Sword Fish - Curry Cut,500.2400,0.5000
1532,Nawabi Mutton Seekh  Kebabs (Microwave Ready & Halal Cut) (2 to 3 pieces) (110g to 120g),99.0000,1.0000
1534,Nawabi Chicken Seekh Kebab (Microwave Ready & Halal Cut) (3 to 4 pieces) (140g to 160g),99.0000,1.0000
1543,"Vigova Duck (Vietnam Variety White Pecking Duck, With Skin) - Curry Cut (With Skin) ",498.0000,0.7000
1561,Marinated Chicken Lollipop (Halal Cut),149.0000,0.5000
1562,Marinated Chicken Lollipop (Halal Cut) - 250gm Pack,149.0000,1.0000
1573,"Fresh Prawns / Kucho Chingdi - Peeled, Cleaned but not deveined (PUD)",498.0000,0.5000
1575,Premium Chicken Thigh (Boneless),398.0000,0.5000
1581,Black Pomfret / Karutha Avoli (Small),598.0000,0.5000
1582,Black Pomfret / Karutha Avoli (Small) - Whole,598.0000,0.5000
1583,Black Pomfret / Karutha Avoli (Small) - Whole Cleaned (With Skin),908.9600,0.5000
1584,Black Pomfret / Karutha Avoli (Small) - Curry Cut (With Skin),938.8600,0.5000
1588,Sea Crab - Whole Cleaned (with minimal shell),596.0000,0.5000
1597,Yellow Fin Tuna - Loin Cut (250g Pack) ,225.0000,1.0000
1612,Marinated Tender Chicken Chilli (Halal Cut) (240g+),199.0000,1.0000
1613,Pink Perch / Kilimeen / Sankara Meen / Thread Finned Bream (Medium) - Curry Cut,441.0400,0.5000
1614,Pink Perch / Kilimeen / Sankara Meen / Thread Finned Bream (Large) - Curry Cut,435.0800,0.5000
1623,Grouper / Reef Cod / Kalava (Small),298.0000,0.5000
1624,Grouper / Reef Cod / Kalava (Small) - Whole,298.0000,0.5000
1625,Grouper / Reef Cod / Kalava (Small) - Curry Cut (may include head pieces),432.1000,0.5000
